|hashtag|job_id|tweet_id_str
84|Type1|2|856906639001223169
85|diabetes|2|856906639001223169
86|Texas|2|856906631849922563
87|Raleigh|2|856906631849922563
88|Flood|2|856906631849922563
89|Flooding|2|856906631849922563
90|Dogs|2|856906590703812608
91|Cats|2|856906590703812608
92|okstate|2|856906571497996288
93|okstate|2|856906570084515840
94|BNEFsummit|2|856906564267106305
95|SugarLand|2|856906563381899266
96|job|2|856906563381899266
97|Administrative|2|856906563381899266
98|bdcnews|2|856906556365033473
99|Texas|2|856906540363788289
100|BuildTheWall|2|856906540330217473
101|rollingheavy|3|856906849156829184
102|desertgenerator|3|856906849156829184
103|vannin|3|856906849156829184
104|van|3|856906849156829184
105|dodge|3|856906849156829184
106|california|3|856906849156829184
107|BestHighSchools|3|856906849035190272
108|California|3|856906844450820096
109|travel|3|856906844450820096
110|roadtrip|3|856906844450820096
111|missvelvetcream|3|856906829145624576
112|Fashionexperience|3|856906829145624576
113|Imadeyourclothes|3|856906829145624576
114|california|3|856906829145624576
115|indiedesigner|3|856906829145624576
116|BailReform|3|856906824594857984
117|SB10|3|856906824594857984
118|AB42|3|856906824594857984
119|SaveUSA|3|856906813005905920
120|tags|3|856906809025585153
121|CounterExtremismVision|3|856906809025585153
122|QueMañana|3|856906805397663746
123|suck|3|856906793984950272
124|TheBlackRosesTour|3|856906792642674689
125|EarthDay|3|856906765396393984
126|Monterey|3|856906765396393984
127|California|3|856906765396393984
128|travel|3|856906765396393984
129|destination|3|856906765396393984
130|VoiceofWipro|3|856906765245480963
131|California|3|856906755393167360
132|HydroPower|3|856906755393167360
133|drought|3|856906755393167360
134|DuckCurve|3|856906755393167360
135|footprintsinthesand|3|856906746585116674
136|greattimetorun|3|856906746585116674
137|battlegrounds|3|856906746585116674
138|may20|3|856906746585116674
139|BestHighSchools|3|856906741774155776
140|California|3|856906730663444484
141|ThomasEdison|3|856906713362042882
142|quote|3|856906713362042882
143|SanDiego|3|856906713362042882
144|California|3|856906713362042882
145|Criminal|3|856906713362042882
146|Justice|3|856906713362042882
147|Attorney|3|856906713362042882
148|Law|3|856906713362042882
149|politicians|3|856906709419393024
150|antiques|3|856906704100904960
151|glass|3|856906704100904960
152|kitchenware|3|856906704100904960
153|sodabottle|3|856906704100904960
154|oldstuff|3|856906704100904960
155|5Star|3|856906700573593604
156|VisitBurbank|3|856906700573593604
157|California|3|856906700032430080
158|SB562|3|856906692688134144
159|Cherries|3|856906689001525248
160|Immigration|3|856906689001525248
161|laborshortages|3|856906689001525248
162|Harvest|3|856906689001525248
163|QueMañana|3|856906687843840000
164|ironyoftheyear|3|856906683381149697
165|caravan|3|856906682953224193
166|caravaning|3|856906682953224193
167|GoBeavers|3|856906682407952384
168|TheBlackRosesTour|3|856906677513269248
169|education|3|856906670911442945
170|childabuse|3|856906670911442945
171|graduation|3|856906670911442945
172|Calexit|3|856906645552504832
173|CounterExtremismVision|3|856906645552504832
174|Calexit|3|856906645485404160
175|CounterExtremismVision|3|856906645485404160
176|Calexit|3|856906645477048320
177|CounterExtremismVision|3|856906645477048320
178|Calexit|3|856906645456134144
179|CounterExtremismVision|3|856906645456134144
180|Calexit|3|856906645456027648
181|CounterExtremismVision|3|856906645456027648
182|Calexit|3|856906645451952130
183|CounterExtremismVision|3|856906645451952130
184|Calexit|3|856906645275725824
185|CounterExtremismVision|3|856906645275725824
186|Calexit|3|856906645271592960
187|CounterExtremismVision|3|856906645271592960
188|Calexit|3|856906644462030848
189|CounterExtremismVision|3|856906644462030848
190|Calexit|3|856906644436865024
191|CounterExtremismVision|3|856906644436865024
192|Calexit|3|856906644436860932
193|CounterExtremismVision|3|856906644436860932
194|Calexit|3|856906644344655873
195|CounterExtremismVision|3|856906644344655873
196|Calexit|3|856906644302708736
197|CounterExtremismVision|3|856906644302708736
198|Calexit|3|856906644214603776
199|CounterExtremismVision|3|856906644214603776
200|Calexit|3|856906644214566912
201|CounterExtremismVision|3|856906644214566912
202|Calexit|3|856906644197785600
203|CounterExtremismVision|3|856906644197785600
204|Calexit|3|856906644197744640
205|CounterExtremismVision|3|856906644197744640
206|Calexit|3|856906644160000005
207|CounterExtremismVision|3|856906644160000005
208|SanDiego|3|856906639491743744
209|FrankieCiccone|3|856906639491743744
210|california|3|856906639491743744
211|California|3|856906617412927489
212|AB1612|3|856906607329853440
213|nonprofits|3|856906560492019712
214|digitaldivide|3|856906560492019712
215|education|3|856906560492019712
216|cdwsocial|3|856906560492019712
217|penstemon|3|856906556385804288
218|californiapoppies|3|856906556385804288
219|GreenClean|3|856906543039750144
220|California|3|856906541336809472
221|Immigrants|3|856906541336809472
222|California|3|856906540044955649
223|London|4|856906858287779840
224|elrow|4|856906847630045184
225|CoDWWII|4|856906835848302594
226|LondonMarathon|4|856906812397936640
227|Somaliland|4|856906810133012481
228|Canada150|4|856906805963890690
229|FTSE100|4|856906805577826304
230|FTSE100|4|856906805577826304
231|cocktails|4|856906803900272642
232|london|4|856906803900272642
233|thelocalist|4|856906803900272642
234|joinus|4|856906803900272642
